loop_number,timestamp,level,level_numeric,confidence,short_explanation,hr,hrv,quality,log_timestamp
261,2026-03-10T16:31:54.834995,CRITICAL,3,67.55909295265,"severe tachycardia, arrhythmia",131.57894736842104,60.0,84.44886619081251,2026-03-10T16:31:54.834995
262,2026-03-10T16:31:54.948985,CRITICAL,3,68.62374217511481,"severe tachycardia, arrhythmia",145.63106796116506,60.0,85.77967771889351,2026-03-10T16:31:54.948985
263,2026-03-10T16:31:55.056258,WARNING,1,84.05307977294572,arrhythmia,129.3103448275862,60.0,84.05307977294572,2026-03-10T16:31:55.056258
264,2026-03-10T16:31:55.168403,CRITICAL,3,69.0548592481167,"severe tachycardia, unstable rhythm",163.04347826086956,60.0,86.31857406014586,2026-03-10T16:31:55.168403
265,2026-03-10T16:31:55.278568,WARNING,1,69.96061536700152,arrhythmia,119.04761904761905,60.0,69.96061536700152,2026-03-10T16:31:55.279672
266,2026-03-10T16:31:55.386923,CRITICAL,3,68.43476951806113,"severe tachycardia, unstable rhythm",165.74585635359117,58.0,85.5434618975764,2026-03-10T16:31:55.386923
267,2026-03-10T16:31:55.495821,CRITICAL,3,57.6,"severe tachycardia, arrhythmia",165.74585635359117,58.0,72.0,2026-03-10T16:31:55.495821
268,2026-03-10T16:31:55.606081,CRITICAL,3,57.6,"severe tachycardia, arrhythmia",165.74585635359117,58.0,72.0,2026-03-10T16:31:55.606081
269,2026-03-10T16:31:55.712450,WARNING,1,70.88595423104033,arrhythmia,108.69565217391303,58.0,70.88595423104033,2026-03-10T16:31:55.712450
270,2026-03-10T16:31:55.822612,WARNING,1,72.0,arrhythmia,108.69565217391303,58.0,72.0,2026-03-10T16:31:55.822612
