loop_number,state,action,reward,q_value,baseline_hr,sensitivity,log_timestamp
261,"(1, 1, 1)",BASELINE_UP,-13,-2.870974411794391,137.46235180489273,0.8,2026-03-10T16:31:54.834995
262,"(1, 1, 1)",BASELINE_UP,-13,-4.156619539735419,139.77078761270636,0.8,2026-03-10T16:31:54.948985
263,"(1, 1, 1)",BASELINE_DOWN,12,-2.6226546187983075,137.34776547345032,0.8,2026-03-10T16:31:55.056258
264,"(2, 1, 1)",INCREASE_SENSITIVITY,-13,-16.026973744202756,138.63255111282126,0.9,2026-03-10T16:31:55.168403
265,"(1, 1, 1)",BASELINE_DOWN,10,-1.609541345704316,135.75330450956116,0.9,2026-03-10T16:31:55.279672
266,"(2, 1, 1)",MAINTAIN,-13,-14.970302389054885,137.25293210176267,0.9,2026-03-10T16:31:55.386923
267,"(2, 1, 1)",DECREASE_SENSITIVITY,-15,-15.50551665397084,138.6775783143541,0.8,2026-03-10T16:31:55.495821
268,"(2, 1, 1)",BASELINE_DOWN,-15,-16.028930220560422,138.13099221631595,0.8,2026-03-10T16:31:55.606081
269,"(0, 1, 1)",BASELINE_DOWN,-10,3.283987865123358,134.7592252141958,0.8,2026-03-10T16:31:55.712450
270,"(0, 1, 1)",BASELINE_DOWN,-10,1.8026826507691123,131.55604656218165,0.8,2026-03-10T16:31:55.822612
